CustomerKey,CustomerAlternateKey,FirstName,MiddleInitial,LastName,MaritalStatus,Gender,DateOfBirth,PhoneNumber,StreetAddress,City,StateProvinceCode,StateProvinceName,CountryCode,CountryName,PostCode 
11000,AW00011000,Jon,V,Yang,M,M,1966-04-08,1 (11) 500 555-0162,3761 N. 14th St,Rockhampton,QLD,Queensland,AU,Australia,4700
11001,AW00011001,Eugene,L,Huang,S,M,1965-05-14,1 (11) 500 555-0110,2243 W St.,Seaford,VIC,Victoria,AU,Australia,3198
11002,AW00011002,Ruben,,Torres,M,M,1965-08-12,1 (11) 500 555-0184,5844 Linden Land,Hobart,TAS,Tasmania,AU,Australia,7001
11003,AW00011003,Christy,,Zhu,S,F,1968-02-15,1 (11) 500 555-0162,1825 Village Pl.,North Ryde,NSW,New South Wales,AU,Australia,2113
11004,AW00011004,Elizabeth,,Johnson,S,F,1968-08-08,1 (11) 500 555-0131,7553 Harness Circle,Wollongong,NSW,New South Wales,AU,Australia,2500
11005,AW00011005,Julio,,Ruiz,S,M,1965-08-05,1 (11) 500 555-0151,7305 Humphrey Drive,East Brisbane,QLD,Queensland,AU,Australia,4169
11006,AW00011006,Janet,G,Alvarez,S,F,1965-12-06,1 (11) 500 555-0184,2612 Berry Dr,Matraville,NSW,New South Wales,AU,Australia,2036
11007,AW00011007,Marco,,Mehta,M,M,1964-05-09,1 (11) 500 555-0126,942 Brook Street,Warrnambool,VIC,Victoria,AU,Australia,3280
11008,AW00011008,Rob,,Verhoff,S,F,1964-07-07,1 (11) 500 555-0164,624 Peabody Road,Bendigo,VIC,Victoria,AU,Australia,3550
11009,AW00011009,Shannon,C,Carlson,S,M,1964-04-01,1 (11) 500 555-0110,3839 Northgate Road,Hervey Bay,QLD,Queensland,AU,Australia,4655
11010,AW00011010,Jacquelyn,C,Suarez,S,F,1964-02-06,1 (11) 500 555-0169,7800 Corrinne Court,East Brisbane,QLD,Queensland,AU,Australia,4169
11011,AW00011011,Curtis,,Lu,M,M,1963-11-04,1 (11) 500 555-0117,1224 Shoenic,East Brisbane,QLD,Queensland,AU,Australia,4169
11012,AW00011012,Lauren,M,Walker,M,F,1968-01-18,717-555-0164,4785 Scott Street,Bremerton,WA,Washington,US,United States,98312
